task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.9127358490566038,0.9121711241575119,0.5138888888888888,0.44673564869709187,0.3988469601677149,0.20008496176720475,0.20008496176720475,0.9255765199161425,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.9127358490566038,0.9121711241575119,0.5293501048218029,0.4541306525720471,0.3833857442348009,0.1745964316057774,0.1745964316057774,0.9255765199161425,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.9127358490566038,0.9121711241575119,0.5311844863731656,0.4554823750422488,0.38155136268343814,0.17247238742565846,0.17247238742565846,0.9255765199161425,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.9127358490566038,0.9121711241575119,0.4468029350104822,0.40309032876029455,0.4659329140461216,0.27697536108751064,0.27697536108751064,0.9255765199161425,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.9127358490566038,0.9121711241575119,0.8666142557651991,0.8653381544751729,0.04612159329140464,0.031011045029736617,0.031011045029736617,0.9255765199161425,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.9127358490566038,0.9121711241575119,0.485062893081761,0.42908509445361853,0.4276729559748428,0.25148683092608326,0.25148683092608326,0.9255765199161425,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.9127358490566038,0.9121711241575119,0.559748427672956,0.46968593108028406,0.3529874213836478,0.13551401869158877,0.13551401869158877,0.9255765199161425,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.9127358490566038,0.9121711241575119,0.5545073375262054,0.4661494764641688,0.35822851153039836,0.1427357689039932,0.1427357689039932,0.9255765199161425,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.9127358490566038,0.9121711241575119,0.3694968553459119,0.35188688290678094,0.5432389937106918,0.40186915887850466,0.40186915887850466,0.9255765199161425,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.9127358490566038,0.9121711241575119,0.8642557651991615,0.8628556201650778,0.04848008385744229,0.03143585386576041,0.03143585386576041,0.9255765199161425,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.9127358490566038,0.9121711241575119,0.36163522012578614,0.34851150053987806,0.5511006289308176,0.45072217502124046,0.45072217502124046,0.9255765199161425,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.9127358490566038,0.9121711241575119,0.5513626834381551,0.46545058585923377,0.3613731656184487,0.1588785046728972,0.1588785046728972,0.9255765199161425,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.9127358490566038,0.9121711241575119,0.5542452830188679,0.4663492672227528,0.3584905660377359,0.15335598980458792,0.15335598980458792,0.9255765199161425,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.9127358490566038,0.9121711241575119,0.29979035639413,0.30075337685606124,0.6129454926624738,0.5148683092608326,0.5148683092608326,0.9255765199161425,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.9127358490566038,0.9121711241575119,0.8634696016771488,0.8619876330639404,0.04926624737945495,0.031011045029736617,0.031011045029736617,0.9255765199161425,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.9127358490566038,0.9121711241575119,0.3996331236897275,0.3745672311540004,0.5131027253668763,0.3920985556499575,0.3920985556499575,0.9255765199161425,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.9127358490566038,0.9121711241575119,0.5621069182389937,0.4706132602623057,0.35062893081761004,0.13763806287170774,0.13763806287170774,0.9255765199161425,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.9127358490566038,0.9121711241575119,0.5676100628930818,0.4735735648174723,0.34512578616352196,0.12999150382327954,0.12999150382327954,0.9255765199161425,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.3,0.9127358490566038,0.9121711241575119,0.24109014675052412,0.2531039294010992,0.6716457023060797,0.6091758708581139,0.6091758708581139,0.9255765199161425,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.3,0.9127358490566038,0.9121711241575119,0.8632075471698113,0.8617078815073264,0.04952830188679247,0.031011045029736617,0.031011045029736617,0.9255765199161425,2,263,,,,,,,175.0
binary,1,DT,FGSM-SNN,0.05,0.8873165618448637,0.8865077033813654,0.40749475890985326,0.41168641031964065,0.4798218029350105,0.44824599393676917,0.44824599393676917,0.9033018867924528,2,263,,,,,,,
binary,1,DT,PGD-10-SNN,0.05,0.8873165618448637,0.8865077033813654,0.4559748427672956,0.46196636021098614,0.43134171907756813,0.4335210047639671,0.4335210047639671,0.9033018867924528,2,263,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.05,0.8873165618448637,0.8865077033813654,0.42321802935010483,0.42762629730178536,0.4640985324947589,0.4452143785188393,0.4452143785188393,0.9033018867924528,2,263,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.05,0.8873165618448637,0.8865077033813654,0.03773584905660377,0.04737945492662474,0.84958071278826,0.9376353399740147,0.9376353399740147,0.9033018867924528,2,263,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.05,0.8873165618448637,0.8865077033813654,0.31577568134171907,0.31523238013314064,0.5715408805031447,0.48679081853616285,0.48679081853616285,0.9033018867924528,2,263,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.1,0.8873165618448637,0.8865077033813654,0.39937106918238996,0.40613378586446774,0.4879454926624738,0.46730186227804243,0.46730186227804243,0.9033018867924528,2,263,,,,,,,
binary,1,DT,PGD-10-SNN,0.1,0.8873165618448637,0.8865077033813654,0.5141509433962265,0.5219799088492328,0.37316561844863727,0.4058033780857514,0.4058033780857514,0.9033018867924528,2,263,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.1,0.8873165618448637,0.8865077033813654,0.5031446540880503,0.5119792516404976,0.3841719077568134,0.4231268947596362,0.4231268947596362,0.9033018867924528,2,263,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.1,0.8873165618448637,0.8865077033813654,0.012578616352201259,0.016185528080523977,0.8747379454926625,0.9792117799913382,0.9792117799913382,0.9033018867924528,2,263,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.1,0.8873165618448637,0.8865077033813654,0.3220649895178197,0.3196593577441565,0.565251572327044,0.4750974447812906,0.4750974447812906,0.9033018867924528,2,263,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.2,0.8873165618448637,0.8865077033813654,0.39544025157232704,0.4037470921108975,0.4918763102725367,0.48116067561715026,0.48116067561715026,0.9033018867924528,2,263,,,,,,,
binary,1,DT,PGD-10-SNN,0.2,0.8873165618448637,0.8865077033813654,0.5285639412997903,0.5337851317519098,0.3587526205450734,0.37418796015591166,0.37418796015591166,0.9033018867924528,2,263,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.2,0.8873165618448637,0.8865077033813654,0.5267295597484277,0.5319418335939504,0.360587002096436,0.37462104807275876,0.37462104807275876,0.9033018867924528,2,263,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.2,0.8873165618448637,0.8865077033813654,0.00759958071278826,0.009827078102466379,0.8797169811320755,0.9874404504114335,0.9874404504114335,0.9033018867924528,2,263,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.2,0.8873165618448637,0.8865077033813654,0.19418238993710693,0.21223804023342993,0.6931341719077568,0.6842789086184495,0.6842789086184495,0.9033018867924528,2,263,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.3,0.8873165618448637,0.8865077033813654,0.45178197064989517,0.46403654700016,0.43553459119496857,0.4863577306193157,0.4863577306193157,0.9033018867924528,2,263,,,,,,,
binary,1,DT,PGD-10-SNN,0.3,0.8873165618448637,0.8865077033813654,0.500524109014675,0.5066264764348962,0.3867924528301887,0.40623646600259855,0.40623646600259855,0.9033018867924528,2,263,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.3,0.8873165618448637,0.8865077033813654,0.5096960167714885,0.5142475621617392,0.3776205450733753,0.38674750974447814,0.38674750974447814,0.9033018867924528,2,263,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.3,0.8873165618448637,0.8865077033813654,0.0015723270440251573,0.002045423878307975,0.8857442348008385,0.9974014724989173,0.9974014724989173,0.9033018867924528,2,263,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.3,0.8873165618448637,0.8865077033813654,0.1831761006289308,0.2019177895485371,0.704140461215933,0.7011693373754873,0.7011693373754873,0.9033018867924528,2,263,,,,,,,105.0
binary,1,XGBoost,FGSM-SNN,0.05,0.9219077568134172,0.9218248221717706,0.07914046121593292,0.08382053172091632,0.8427672955974843,0.9236022193768673,0.9236022193768673,0.9261006289308176,2,263,,,,,,,
binary,1,XGBoost,PGD-10-SNN,0.05,0.9219077568134172,0.9218248221717706,0.05948637316561845,0.07006717743177587,0.8624213836477987,0.9218950064020487,0.9218950064020487,0.9261006289308176,2,263,10.0,8.0,0.0375,,,,
binary,1,XGBoost,PGD-20-SNN,0.05,0.9219077568134172,0.9218248221717706,0.05712788259958071,0.06746452641136627,0.8647798742138365,0.9248826291079812,0.9248826291079812,0.9261006289308176,2,263,20.0,15.5,0.01935483870967742,,,,
binary,1,XGBoost,BBA,0.05,0.9219077568134172,0.9218248221717706,0.009171907756813417,0.011693691002877326,0.9127358490566038,0.9854886897140418,0.9854886897140418,0.9261006289308176,2,263,,,,170.0,170.0,165.0,
binary,1,XGBoost,DBA-style,0.05,0.9219077568134172,0.9218248221717706,0.5571278825995807,0.533331977343091,0.3647798742138365,0.2112676056338028,0.2112676056338028,0.9261006289308176,2,263,,,,,,,160.0
binary,1,XGBoost,FGSM-SNN,0.1,0.9219077568134172,0.9218248221717706,0.05948637316561845,0.05880916963944403,0.8624213836477987,0.9551856594110115,0.9551856594110115,0.9261006289308176,2,263,,,,,,,
binary,1,XGBoost,PGD-10-SNN,0.1,0.9219077568134172,0.9218248221717706,0.056865828092243186,0.06952911063900814,0.865041928721174,0.9167733674775929,0.9167733674775929,0.9261006289308176,2,263,10.0,8.0,0.0375,,,,
binary,1,XGBoost,PGD-20-SNN,0.1,0.9219077568134172,0.9218248221717706,0.05555555555555555,0.06789118130765648,0.8663522012578616,0.92018779342723,0.92018779342723,0.9261006289308176,2,263,20.0,15.5,0.01935483870967742,,,,
binary,1,XGBoost,BBA,0.1,0.9219077568134172,0.9218248221717706,0.0007861635220125787,0.001023515326380346,0.9211215932914046,0.998719590268886,0.998719590268886,0.9261006289308176,2,263,,,,170.0,170.0,165.0,
binary,1,XGBoost,DBA-style,0.1,0.9219077568134172,0.9218248221717706,0.5581761006289309,0.533803738081528,0.36373165618448633,0.2087067861715749,0.2087067861715749,0.9261006289308176,2,263,,,,,,,160.0
binary,1,XGBoost,FGSM-SNN,0.2,0.9219077568134172,0.9218248221717706,0.0479559748427673,0.046339945619658734,0.8739517819706499,0.9658557405036279,0.9658557405036279,0.9261006289308176,2,263,,,,,,,
binary,1,XGBoost,PGD-10-SNN,0.2,0.9219077568134172,0.9218248221717706,0.07940251572327044,0.09518390788148744,0.8425052410901468,0.8809218950064021,0.8809218950064021,0.9261006289308176,2,263,10.0,8.0,0.0375,,,,
binary,1,XGBoost,PGD-20-SNN,0.2,0.9219077568134172,0.9218248221717706,0.0859538784067086,0.10245587289334564,0.8359538784067087,0.873666239863423,0.873666239863423,0.9261006289308176,2,263,20.0,15.5,0.01935483870967742,,,,
binary,1,XGBoost,BBA,0.2,0.9219077568134172,0.9218248221717706,0.0002620545073375262,0.00034135053981718117,0.9216457023060797,0.9995731967562953,0.9995731967562953,0.9261006289308176,2,263,,,,170.0,170.0,165.0,
binary,1,XGBoost,DBA-style,0.2,0.9219077568134172,0.9218248221717706,0.560796645702306,0.535771917668058,0.36111111111111116,0.20443875373452838,0.20443875373452838,0.9261006289308176,2,263,,,,,,,160.0
binary,1,XGBoost,FGSM-SNN,0.3,0.9219077568134172,0.9218248221717706,0.021750524109014676,0.024093542891287203,0.9001572327044025,0.9760990183525394,0.9760990183525394,0.9261006289308176,2,263,,,,,,,
binary,1,XGBoost,PGD-10-SNN,0.3,0.9219077568134172,0.9218248221717706,0.08988469601677149,0.10682222022643913,0.8320230607966457,0.8664105847204439,0.8664105847204439,0.9261006289308176,2,263,10.0,8.0,0.0375,,,,
binary,1,XGBoost,PGD-20-SNN,0.3,0.9219077568134172,0.9218248221717706,0.0980083857442348,0.1156889295476285,0.8238993710691824,0.8531796841655996,0.8531796841655996,0.9261006289308176,2,263,20.0,15.5,0.01935483870967742,,,,
binary,1,XGBoost,BBA,0.3,0.9219077568134172,0.9218248221717706,0.0,0.0,0.9219077568134172,1.0,1.0,0.9261006289308176,2,263,,,,170.0,170.0,165.0,
binary,1,XGBoost,DBA-style,0.3,0.9219077568134172,0.9218248221717706,0.5670859538784067,0.5404860462850335,0.35482180293501053,0.19419547588561673,0.19419547588561673,0.9261006289308176,2,263,,,,,,,160.0
