task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8275681341719078,0.8269399364676792,0.5419287211740041,0.5085302081481627,0.28563941299790363,0.21084060633899862,0.21084060633899862,0.8883647798742138,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8275681341719078,0.8269399364676792,0.5256813417190775,0.48475467141595846,0.30188679245283023,0.21084060633899862,0.21084060633899862,0.8883647798742138,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8275681341719078,0.8269399364676792,0.539308176100629,0.4943964633910254,0.2882599580712788,0.19476343592099218,0.19476343592099218,0.8883647798742138,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8275681341719078,0.8269399364676792,0.44549266247379454,0.4079801226991887,0.38207547169811323,0.23197060174552137,0.23197060174552137,0.8883647798742138,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8275681341719078,0.8269399364676792,0.7536687631027253,0.7544549101675049,0.07389937106918243,0.08268259072117592,0.08268259072117592,0.8883647798742138,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8275681341719078,0.8269399364676792,0.5290880503144654,0.4826094457264052,0.2984800838574424,0.20165365181442352,0.20165365181442352,0.8883647798742138,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8275681341719078,0.8269399364676792,0.554769392033543,0.47166095469793645,0.27279874213836475,0.14193844740468534,0.14193844740468534,0.8883647798742138,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8275681341719078,0.8269399364676792,0.5804507337526206,0.48622451388330645,0.2471174004192872,0.10610932475884244,0.10610932475884244,0.8883647798742138,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8275681341719078,0.8269399364676792,0.4481132075471698,0.40390863878738165,0.37945492662473795,0.21589343132751493,0.21589343132751493,0.8883647798742138,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8275681341719078,0.8269399364676792,0.7523584905660378,0.7530887466816015,0.07520964360587001,0.08314193844740468,0.08314193844740468,0.8883647798742138,2,263,,,,,,,175.0
