task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.8417190775681341,0.8425410552428267,0.0692479035639413,0.0837453708364967,0.7724711740041929,0.8777422657350247,0.8777422657350247,0.9069706498951782,263.0
binary,DT,BBA,0.1,0.8417190775681341,0.8425410552428267,0.04114255765199162,0.050713172309060764,0.8005765199161425,0.9274604649038272,0.9274604649038272,0.9069706498951782,263.0
binary,DT,BBA,0.2,0.8417190775681341,0.8425410552428267,0.031381027253668765,0.038884108598217074,0.8103380503144654,0.9446690529719988,0.9446690529719988,0.9069706498951782,263.0
binary,DT,BBA,0.3,0.8417190775681341,0.8425410552428267,0.026860587002096432,0.033311769552964554,0.8148584905660377,0.9525635222722765,0.9525635222722765,0.9069706498951782,263.0
binary,DT,DBA-style,0.05,0.8417190775681341,0.8425410552428267,0.23172169811320753,0.24914263178634313,0.6099973794549266,0.6408336367855697,0.6408336367855697,0.9069706498951782,263.0
binary,DT,DBA-style,0.1,0.8417190775681341,0.8425410552428267,0.22097746331236898,0.2389126807544214,0.6207416142557651,0.6581324112995071,0.6581324112995071,0.9069706498951782,263.0
binary,DT,DBA-style,0.2,0.8417190775681341,0.8425410552428267,0.20479559748427673,0.2231708331450207,0.6369234800838575,0.6760171493233517,0.6760171493233517,0.9069706498951782,263.0
binary,DT,DBA-style,0.3,0.8417190775681341,0.8425410552428267,0.17249737945492663,0.1908761736742616,0.6692216981132075,0.7312495052591647,0.7312495052591647,0.9069706498951782,263.0
binary,DT,FGSM-SNN,0.05,0.8417190775681341,0.8425410552428267,0.4665880503144654,0.4506630941996007,0.37513102725366876,0.34179595192056816,0.34179595192056816,0.9069706498951782,263.0
binary,DT,FGSM-SNN,0.1,0.8417190775681341,0.8425410552428267,0.43304507337526205,0.41788687214424186,0.40867400419287214,0.3777028917153831,0.3777028917153831,0.9069706498951782,263.0
binary,DT,FGSM-SNN,0.2,0.8417190775681341,0.8425410552428267,0.4187631027253669,0.4048977151992827,0.42295597484276726,0.4003456199224129,0.4003456199224129,0.9069706498951782,263.0
binary,DT,FGSM-SNN,0.3,0.8417190775681341,0.8425410552428267,0.42026991614255765,0.4114890110034569,0.42144916142557654,0.4157779571666222,0.4157779571666222,0.9069706498951782,263.0
binary,DT,PGD-10-SNN,0.05,0.8417190775681341,0.8425410552428267,0.4527646750524109,0.42047564773916674,0.3889544025157233,0.3145657364731099,0.3145657364731099,0.9069706498951782,263.0
binary,DT,PGD-10-SNN,0.1,0.8417190775681341,0.8425410552428267,0.43599318658280917,0.40934206379441374,0.40572589098532497,0.32618073497166594,0.32618073497166594,0.9069706498951782,263.0
binary,DT,PGD-10-SNN,0.2,0.8417190775681341,0.8425410552428267,0.4498820754716981,0.41287024893822516,0.391837002096436,0.3250447120237693,0.3250447120237693,0.9069706498951782,263.0
binary,DT,PGD-10-SNN,0.3,0.8417190775681341,0.8425410552428267,0.4684224318658281,0.4335568564868642,0.37329664570230603,0.3225881946925585,0.3225881946925585,0.9069706498951782,263.0
binary,DT,PGD-20-SNN,0.05,0.8417190775681341,0.8425410552428267,0.4389412997903564,0.4091928900885274,0.4027777777777778,0.33373748110011975,0.33373748110011975,0.9069706498951782,263.0
binary,DT,PGD-20-SNN,0.1,0.8417190775681341,0.8425410552428267,0.44758909853249473,0.4166563927792701,0.3941299790356394,0.33038195694263617,0.33038195694263617,0.9069706498951782,263.0
binary,DT,PGD-20-SNN,0.2,0.8417190775681341,0.8425410552428267,0.4444444444444444,0.40771035612611595,0.3972746331236897,0.3327521960797461,0.3327521960797461,0.9069706498951782,263.0
binary,DT,PGD-20-SNN,0.3,0.8417190775681341,0.8425410552428267,0.4541404612159329,0.41719987319990276,0.38757861635220126,0.32153715026534446,0.32153715026534446,0.9069706498951782,263.0
binary,LightGBM,BBA,0.05,0.8582940251572327,0.8587303189734306,0.1527777777777778,0.17030717244579885,0.705516247379455,0.7344346490388411,0.7344346490388411,0.9265592243186582,263.0
binary,LightGBM,BBA,0.1,0.8582940251572327,0.8587303189734306,0.1239517819706499,0.13890043223202023,0.7343422431865828,0.7844126369131758,0.7844126369131758,0.9265592243186582,263.0
binary,LightGBM,BBA,0.2,0.8582940251572327,0.8587303189734306,0.06439989517819707,0.07763148110898646,0.7938941299790356,0.88800113559672,0.88800113559672,0.9265592243186582,263.0
binary,LightGBM,BBA,0.3,0.8582940251572327,0.8587303189734306,0.04441823899371069,0.054439763168852934,0.813875786163522,0.9227421627558099,0.9227421627558099,0.9265592243186582,263.0
binary,LightGBM,DBA-style,0.05,0.8582940251572327,0.8587303189734306,0.3615041928721174,0.3460492000888134,0.4967898322851153,0.37252354125044634,0.37252354125044634,0.9265592243186582,263.0
binary,LightGBM,DBA-style,0.1,0.8582940251572327,0.8587303189734306,0.3615041928721174,0.3460497955312341,0.4967898322851153,0.37252224762965186,0.37252224762965186,0.9265592243186582,263.0
binary,LightGBM,DBA-style,0.2,0.8582940251572327,0.8587303189734306,0.3599973794549266,0.3449730544848055,0.4982966457023061,0.37514444792997076,0.37514444792997076,0.9265592243186582,263.0
binary,LightGBM,DBA-style,0.3,0.8582940251572327,0.8587303189734306,0.35953878406708595,0.34464757596820517,0.4987552410901468,0.37594275486547046,0.37594275486547046,0.9265592243186582,263.0
binary,LightGBM,FGSM-SNN,0.05,0.8582940251572327,0.8587303189734306,0.5391116352201257,0.4588538474878121,0.31918238993710696,0.18275814749547412,0.18275814749547412,0.9265592243186582,263.0
binary,LightGBM,FGSM-SNN,0.1,0.8582940251572327,0.8587303189734306,0.5343291404612159,0.4559899007502405,0.3239648846960168,0.1910530773876765,0.1910530773876765,0.9265592243186582,263.0
binary,LightGBM,FGSM-SNN,0.2,0.8582940251572327,0.8587303189734306,0.5278432914046122,0.4507807348298587,0.3304507337526206,0.2032620177708802,0.2032620177708802,0.9265592243186582,263.0
binary,LightGBM,FGSM-SNN,0.3,0.8582940251572327,0.8587303189734306,0.5246986373165619,0.4482612153305988,0.3335953878406709,0.20804898238363967,0.20804898238363967,0.9265592243186582,263.0
binary,LightGBM,PGD-10-SNN,0.05,0.8582940251572327,0.8587303189734306,0.5414701257861635,0.4615381212409979,0.3168238993710692,0.18025277217218635,0.18025277217218635,0.9265592243186582,263.0
binary,LightGBM,PGD-10-SNN,0.1,0.8582940251572327,0.8587303189734306,0.5427803983228512,0.4572360517401136,0.31551362683438156,0.15622892862408427,0.15622892862408427,0.9265592243186582,263.0
binary,LightGBM,PGD-10-SNN,0.2,0.8582940251572327,0.8587303189734306,0.5949947589098532,0.4855900831891268,0.2632992662473795,0.08702582939963194,0.08702582939963194,0.9265592243186582,263.0
binary,LightGBM,PGD-10-SNN,0.3,0.8582940251572327,0.8587303189734306,0.600104821802935,0.48833994949850745,0.25818920335429774,0.07501419082764813,0.07501419082764813,0.9265592243186582,263.0
