task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,Mixed,transfer,BBA,0.05,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.10855607966457023,0.7869496855345912,0.678393605870021,0.8096848799687577,0.011180032936613935,0.8096848799687577,0.011180032936613935,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,BBA,0.1,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.06256551362683438,0.7496724318658281,0.6871069182389937,0.8878732378824976,0.01702888865559022,0.8878732378824976,0.01702888865559022,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,BBA,0.2,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.008778825995807128,0.777646750524109,0.7688679245283019,0.984162539676156,0.012885311076822035,0.984162539676156,0.012885311076822035,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,BBA,0.3,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.005896226415094339,0.9298349056603774,0.9239386792452831,0.9893567316803118,0.0045850154340016346,0.9893567316803118,0.0045850154340016346,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,DBA-style,0.05,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.10809748427672956,0.8065382599580713,0.6984407756813418,0.8310430629228521,0.0008093144010880748,0.8310430629228521,0.0008093144010880748,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,DBA-style,0.1,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.09329140461215933,0.8129585953878407,0.7196671907756813,0.8433200824403922,0.0010339336835132203,0.8433200824403922,0.0010339336835132203,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,DBA-style,0.2,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.07724056603773585,0.8797169811320754,0.8024764150943396,0.8634974947702165,0.0013467066232012547,0.8634974947702165,0.0013467066232012547,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,DBA-style,0.3,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.07547169811320754,0.9198113207547169,0.8443396226415094,0.8650187184477429,0.002029347743518617,0.8650187184477429,0.002029347743518617,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.05,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.466522536687631,0.7038784067085955,0.2373558700209644,0.4497024153162241,0.0026070387179637205,0.4497024153162241,0.0026070387179637205,0.876375786163522,0.9101153039832285,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.1,0.8489910901467506,0.7957940251572326,0.05319706498951782,0.45551624737945495,0.6866483228511531,0.23113207547169812,0.4396092950230507,0.0009119043071008756,0.4396092950230507,0.0009119043071008756,0.876375786163522,0.9101153039832285,716.0
