task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8760482180293501,0.876270793956259,0.575733752620545,0.48044814989198825,0.300314465408805,0.08709245198749442,0.08709245198749442,0.8886268343815513,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8760482180293501,0.876270793956259,0.5780922431865828,0.48099178106189694,0.29795597484276726,0.09155873157659669,0.09155873157659669,0.8886268343815513,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8760482180293501,0.876270793956259,0.5783542976939203,0.4807670214745547,0.29769392033542974,0.09066547565877624,0.09066547565877624,0.8886268343815513,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8760482180293501,0.876270793956259,0.49659329140461217,0.43347246492479685,0.3794549266247379,0.15542652970075926,0.15542652970075926,0.8886268343815513,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8760482180293501,0.876270793956259,0.8034591194968553,0.8025168699061114,0.07258909853249473,0.045556051808843236,0.045556051808843236,0.8886268343815513,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8760482180293501,0.876270793956259,0.5361635220125787,0.4799387220815097,0.3398846960167714,0.20544886109870478,0.20544886109870478,0.8886268343815513,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8760482180293501,0.876270793956259,0.5170335429769392,0.46649778103681144,0.3590146750524109,0.24385886556498437,0.24385886556498437,0.8886268343815513,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8760482180293501,0.876270793956259,0.5230607966457023,0.4703500908605695,0.3529874213836478,0.23403305046895936,0.23403305046895936,0.8886268343815513,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8760482180293501,0.876270793956259,0.46147798742138363,0.4114162728095965,0.41457023060796644,0.21348816435908888,0.21348816435908888,0.8886268343815513,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8760482180293501,0.876270793956259,0.8037211740041929,0.80276111367421,0.07232704402515722,0.04510942384993301,0.04510942384993301,0.8886268343815513,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.8760482180293501,0.876270793956259,0.5065513626834381,0.46274053417574934,0.3694968553459119,0.26887003126395714,0.26887003126395714,0.8886268343815513,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.8760482180293501,0.876270793956259,0.5220125786163522,0.4735469620066809,0.35403563941299787,0.25368468066100935,0.25368468066100935,0.8886268343815513,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.8760482180293501,0.876270793956259,0.5280398322851153,0.47770029859569096,0.34800838574423476,0.24341223760607414,0.24341223760607414,0.8886268343815513,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.8760482180293501,0.876270793956259,0.30634171907756813,0.3055428339525916,0.5697064989517819,0.4778919160339437,0.4778919160339437,0.8886268343815513,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.8760482180293501,0.876270793956259,0.8029350104821803,0.8019519240347694,0.07311320754716977,0.045556051808843236,0.045556051808843236,0.8886268343815513,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.8760482180293501,0.876270793956259,0.5463836477987422,0.4874432550593478,0.3296645702306079,0.2005359535506923,0.2005359535506923,0.8886268343815513,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.8760482180293501,0.876270793956259,0.510482180293501,0.4629963533456485,0.36556603773584906,0.2599374720857526,0.2599374720857526,0.8886268343815513,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.8760482180293501,0.876270793956259,0.5196540880503144,0.4698746091441013,0.35639412997903563,0.24698526127735596,0.24698526127735596,0.8886268343815513,2,716,20.0,19.0,0.015789473684210527,,,,
