task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8907232704402516,0.890636500388939,0.6346960167714885,0.5192645443907175,0.2560272536687631,0.036371603856266435,0.036371603856266435,0.9122117400419287,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8907232704402516,0.890636500388939,0.6422955974842768,0.561351492525691,0.2484276729559748,0.07186678352322524,0.07186678352322524,0.9122117400419287,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8907232704402516,0.890636500388939,0.6556603773584906,0.5854896616878491,0.23506289308176098,0.07230499561787905,0.07230499561787905,0.9122117400419287,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8907232704402516,0.890636500388939,0.49292452830188677,0.4307584962827894,0.3977987421383648,0.1765994741454864,0.1765994741454864,0.9122117400419287,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8907232704402516,0.890636500388939,0.8535115303983228,0.8529080777899926,0.03721174004192873,0.02322524101665206,0.02322524101665206,0.9122117400419287,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8907232704402516,0.890636500388939,0.5458595387840671,0.4783924633295401,0.34486373165618445,0.19894829097283084,0.19894829097283084,0.9122117400419287,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8907232704402516,0.890636500388939,0.5374737945492662,0.4693398494499804,0.3532494758909853,0.20946538124452235,0.20946538124452235,0.9122117400419287,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8907232704402516,0.890636500388939,0.5385220125786163,0.4699648747393654,0.35220125786163525,0.2081507449605609,0.2081507449605609,0.9122117400419287,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8907232704402516,0.890636500388939,0.48139412997903563,0.42340201915014425,0.40932914046121593,0.19500438212094653,0.19500438212094653,0.9122117400419287,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8907232704402516,0.890636500388939,0.8524633123689728,0.8518272394456722,0.0382599580712788,0.02366345311130587,0.02366345311130587,0.9122117400419287,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.8907232704402516,0.890636500388939,0.554769392033543,0.493263540235234,0.33595387840670854,0.2011393514460999,0.2011393514460999,0.9122117400419287,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.8907232704402516,0.890636500388939,0.5487421383647799,0.4807071348937981,0.34198113207547165,0.19851007887817704,0.19851007887817704,0.9122117400419287,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.8907232704402516,0.890636500388939,0.5529350104821803,0.4843921840401865,0.33778825995807127,0.19325153374233128,0.19325153374233128,0.9122117400419287,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.8907232704402516,0.890636500388939,0.320230607966457,0.316035447163403,0.5704926624737945,0.4645048203330412,0.4645048203330412,0.9122117400419287,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.8907232704402516,0.890636500388939,0.8503668763102725,0.8497504694420138,0.040356394129979045,0.025854513584574933,0.025854513584574933,0.9122117400419287,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.8907232704402516,0.890636500388939,0.5372117400419287,0.4850970790630794,0.35351153039832284,0.2357581069237511,0.2357581069237511,0.9122117400419287,2,716,,,,,,,
