task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.8406708595387841,0.8406000531579891,0.5408805031446541,0.5100077638788811,0.29979035639413,0.2394431554524362,0.7976939203354297,6,716,2155,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8406708595387841,0.8406000531579891,0.5419287211740041,0.5042731551019765,0.2987421383647799,0.4032482598607889,0.7976939203354297,6,716,2155,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8406708595387841,0.8406000531579891,0.5382599580712788,0.4985933197869017,0.30241090146750527,0.42041763341067284,0.7976939203354297,6,716,2155,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.8406708595387841,0.8406000531579891,0.6572327044025157,0.6499814942566432,0.18343815513626838,0.3248259860788863,0.7976939203354297,6,716,2155,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.8406708595387841,0.8406000531579891,0.7990041928721174,0.7984784555825244,0.04166666666666663,0.07378190255220418,0.7976939203354297,6,716,2155,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.8406708595387841,0.8406000531579891,0.5146750524109015,0.44720728904504004,0.32599580712788256,0.4380510440835267,0.7976939203354297,6,716,2155,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.8406708595387841,0.8406000531579891,0.5180817610062893,0.4522818971189329,0.32258909853249473,0.5466357308584687,0.7976939203354297,6,716,2155,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.8406708595387841,0.8406000531579891,0.52437106918239,0.4559303966468668,0.3162997903563941,0.5378190255220417,0.7976939203354297,6,716,2155,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.8406708595387841,0.8406000531579891,0.6063941299790356,0.6043329432307135,0.23427672955974843,0.4148491879350348,0.7976939203354297,6,716,2155,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.8406708595387841,0.8406000531579891,0.7990041928721174,0.7984784555825244,0.04166666666666663,0.07378190255220418,0.7976939203354297,6,716,2155,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5044549266247379,0.4250512269795051,0.33621593291404617,0.40835266821345706,0.7976939203354297,6,716,2155,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5193920335429769,0.4493219198323075,0.32127882599580715,0.540139211136891,0.7976939203354297,6,716,2155,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5225366876310272,0.4496705224556802,0.31813417190775684,0.5368909512761021,0.7976939203354297,6,716,2155,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5096960167714885,0.49832185524639133,0.3309748427672956,0.5860788863109049,0.7976939203354297,6,716,2155,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.7990041928721174,0.7984784555825244,0.04166666666666663,0.07378190255220418,0.7976939203354297,6,716,2155,,,,,,,175.0
